SUBID,TCK,noise_T01,noise_T02
S020,LKN40,149.306,154.809
S020,LKN41,152.4,151.709
S020,LKN42,152.055,155.164
S020,LKN43,136.848,131.657
S020,LKN44,138.249,130.235
S020,LKN45,134.657,128.591
S020,LKN46,135.893,132.289
S020,LKN47,139.609,128.57
S020,LKN48,140.4,128.083
S020,LORV1,145.14,151.863
S020,LORV1V2,145.039,151.711
S020,LORV1V2R3,144.771,151.886
S020,LSLF,139.49,139.096
S020,LTR,142.28,140.845
S020,LUF,150.508,168.422
S020,RAF,139.737,140.327
S020,RCC,139.589,137.394
S020,RCH,146.366,152.217
S020,RCST,151.885,138.667
S020,RIFO,145.571,144.385
S020,RILF,147.28,153.483
S020,RORV1,145.83,151.174
S020,RORV1V2,146.363,151.704
S020,RORV1V2R3,146.213,151.776
S020,RSLF,140.298,134.636
S020,RTR,143.072,138.885
S020,RUF,146.899,156.328
S021,CFMaj,134.902,113.755
S021,CFMin,138.462,89.5847
S021,LAF,135.033,94.6794
S021,LCC,136.246,92.6276
S021,LCH,140.4,132.467
S021,LCST,138.43,63.4178
S021,LIFOF,136.123,109.4
S021,LILF,139.37,122.973
S021,LKN27,135.247,122.945
S021,LKN28,133.411,127.6
S021,LKN29,135.107,122.259
S021,LKN30,133.33,127.013
S021,LKN31,135.938,118.044
S021,LKN32,135.587,119.916
S021,LKN33,132.937,121.495
S021,LKN34,133.94,124.068
S021,LKN35,133.485,119.426
S021,LKN36,134.337,126.343
S021,LKN37,131.365,123.227
S021,LKN38,132.57,126.833
S021,LKN39,137.761,141.776
S021,LKN40,139.256,142.869
S021,LKN41,137.028,139.772
S021,LKN42,137.947,139.813
S021,LKN43,134.154,51.1524
S021,LKN44,134.369,55.4164
S021,LKN45,132.452,57.3219
S021,LKN46,131.221,63.3797
S021,LKN47,133.97,53.8828
S021,LKN48,134.106,64.821
S021,LORV1,133.66,125.074
S021,LORV1V2,135.069,122.534
S021,LORV1V2R3,135.111,122.58
S021,LSLF,135.327,60.1351
S021,LTR,137.071,89.6512
S021,LUF,152.312,134.061
S021,RAF,134.407,81.4625
S021,RCC,137.475,90.6808
S021,RCH,141.498,133.301
S021,RCST,140.173,65.4787
S021,RIFO,134.636,112.275
S021,RILF,138.852,125.588
S021,RORV1,132.367,128.322
S021,RORV1V2,133.32,127.115
S021,RORV1V2R3,133.279,127.423
S021,RSLF,135.697,50.2362
S021,RTR,134.638,76.4859
S021,RUF,151.631,133.838
S022,CFMaj,142.707,128.506
S022,CFMin,149.53,61.6206
S022,LAF,142.683,79.7657
S022,LCC,143.57,95.1352
S022,LCH,163.279,138.367
S022,LCST,174.482,56.6326
S022,LIFOF,148.807,108.548
S022,LILF,148.274,132.218
S022,LKN27,145.519,137.412
S022,LKN28,145.742,141.027
S022,LKN29,145.268,137.792
S022,LKN30,145.676,140.813
S022,LKN31,150.351,118.932
S022,LKN32,150.089,122.719
S022,LKN33,152.086,126.353
S022,LKN34,143.975,117.681
S022,LKN35,155.794,117.625
S022,LKN36,154.612,120.427
S022,LKN37,149.919,132.195
S022,LKN38,150.151,133.558
S022,LKN39,164.173,145.736
S022,LKN40,165.173,146.882
S022,LKN41,164.549,145.668
S022,LKN42,165.919,146.046
S022,LKN43,139.25,46.8548
S022,LKN44,138.764,48.6678
S022,LKN45,137.474,52.773
S022,LKN46,136.577,58.6472
S022,LKN47,139.47,48.7221
S022,LKN48,140.908,54.5471
